"timestamp","gt_power_mw","gt_heat_rate_btu_kwh","gt_exhaust_temp_c","solar_output_mw","solar_irradiance_fraction","solar_cell_temp_c","bess_soc_pct","bess_power_mw","bess_terminal_voltage_v","compute_cpu_load_pct","compute_mem_util_pct","compute_inlet_temp_c","cooling_chws_temp_c","cooling_pump_flow_ls","cooling_cop","site_total_load_mw","it_load_mw","mechanical_load_mw","grid_import_mw","islanded","balance_residual_mw","step_event"
"0.0",240.08,10847.7,568.0,120.53,0.6,43.1,72.0,-1.64,1479.5,65.0,55.0,25.79,8.0,3943.2,4.19,245.549,195.054,50.495,-110.166,0,2.0249,0
"0.1",240.21,10821.6,568.01,119.31,0.6,43.0,72.0,-3.23,1480.7,65.0,55.0,25.78,8.0,3953.3,4.26,244.787,195.048,49.739,-110.201,0,0.0853,0
"0.2",240.27,10902.8,567.95,120.49,0.6,43.1,72.0,-4.76,1479.7,65.0,55.0,25.79,8.0,3947.4,4.12,246.378,195.081,51.297,-110.171,0,-1.7822,0
"0.3",240.25,10930.8,567.93,120.03,0.6,42.7,72.0,-6.24,1478.3,65.0,55.0,25.74,8.01,3949.7,4.18,245.612,195.009,50.603,-109.939,0,-2.7388,0
"0.4",240.26,10901.2,567.99,120.29,0.6,42.9,72.0,-7.68,1479.7,65.0,55.0,25.76,8.01,3939.5,4.16,245.796,194.985,50.811,-109.565,0,-3.7134,0
"0.5",240.27,10931.0,567.85,119.76,0.6,42.7,72.0,-9.06,1479.9,65.0,55.0,25.8,8.01,3960.1,4.19,245.563,195.051,50.512,-109.523,0,-5.3421,0
"0.6",241.74,10855.2,567.88,120.08,0.6,43.5,72.0,-8.92,1478.0,95.0,55.0,25.79,8.01,4861.8,4.25,357.043,285.099,71.944,-103.961,0,-109.8929,1
"0.7",243.27,10907.0,567.9,120.06,0.6,42.6,72.0,-8.83,1480.9,95.0,55.0,25.82,8.02,4843.6,4.23,357.342,285.099,72.243,-98.603,0,-103.2292,0
"0.8",243.25,10971.7,567.89,119.77,0.6,43.2,72.0,-10.18,1481.4,65.0,55.0,25.83,8.02,3955.1,4.13,246.212,195.033,51.179,-98.945,0,6.4512,0
"0.9",243.2,10884.4,567.94,118.91,0.6,43.0,72.0,-11.48,1480.1,65.0,55.0,25.86,8.02,3940.4,4.23,245.114,195.06,50.054,-98.998,0,5.2926,0
"1.0",243.25,10883.0,567.78,119.97,0.6,42.9,72.0,-12.74,1479.4,65.0,55.0,25.8,8.02,3943.6,4.23,245.121,195.063,50.058,-99.272,0,4.8595,0
