"timestamp","gt_power_mw","gt_heat_rate_btu_kwh","gt_exhaust_temp_c","gt_setpoint_mw","gt_mode","solar_output_mw","solar_irradiance_fraction","solar_cell_temp_c","bess_soc_pct","bess_power_mw","bess_terminal_voltage_v","bess_setpoint_mw","compute_cpu_load_pct","compute_mem_util_pct","compute_inlet_temp_c","compute_load_mw","cooling_chws_temp_c","cooling_pump_flow_ls","cooling_cop","site_total_load_mw","it_load_mw","mechanical_load_mw","grid_import_mw","grid_import_metered_mw","islanded","balance_residual_mw","binding_constraint","forecast_mw","step_event","scenario_id","rng_seed","source"
"0.0",134.98,11398.7,540.02,93.7421,"ramping",119.6076,0.6,43.0,72.0002,-15.751,1480.1,-55.5644,65.009,55.2,25.79,195.027,8.001,3944.8,4.21,199.0232,195.027,3.9962,-38.8182,-1.7967,0,-0.0,"ramp_limit",199.291,0,"demo_v2",605338760,"synthetic_generator"
"0.1",134.96,11384.2,539.99,80.0,"ramping",119.4607,0.6,42.7,72.0006,-26.974,1480.4,-55.3442,65.005,55.2,25.81,195.015,8.003,3958.4,4.2,199.0765,195.015,4.0615,-27.3748,-3.0683,0,-0.0,"ramp_limit",193.521,0,"demo_v2",605338760,"synthetic_generator"
"0.2",134.94,11356.5,540.07,80.9139,"ramping",120.818,0.6,42.8,72.0011,-35.373,1479.9,-56.6038,65.016,55.1,25.82,195.048,8.004,3948.7,4.12,199.1542,195.048,4.1062,-20.235,-3.9056,0,-0.0,"ramp_limit",200.867,0,"demo_v2",605338760,"synthetic_generator"
"0.3",134.92,11413.2,540.02,80.0,"ramping",119.6587,0.6,42.8,72.0017,-41.027,1479.7,-55.3189,65.033,54.9,25.82,195.099,8.006,3954.9,4.2,199.2598,195.099,4.1608,-13.2956,-4.4466,0,0.0,"ramp_limit",203.387,0,"demo_v2",605338760,"synthetic_generator"
"0.4",134.9,11381.9,540.01,80.6926,"ramping",120.976,0.6,43.2,72.0023,-45.428,1478.6,-56.5528,65.041,54.8,25.78,195.123,8.007,3945.3,4.24,199.3232,195.123,4.2002,-10.1282,-4.7002,0,0.0,"ramp_limit",199.865,0,"demo_v2",605338760,"synthetic_generator"
"0.5",134.88,11394.2,539.98,81.1286,"ramping",119.8022,0.6,43.4,72.003,-48.222,1478.8,-55.2841,65.047,55.2,25.82,195.141,8.009,3947.7,4.19,199.3981,195.141,4.2571,-6.0652,-4.8882,0,0.0,"ramp_limit",199.069,0,"demo_v2",605338760,"synthetic_generator"
"0.6",134.9,11335.6,539.98,158.5003,"ramping",119.2568,0.6,43.5,72.0034,-29.171,1480.7,18.9858,89.362,55.2,25.76,268.086,8.013,4680.1,4.23,273.1426,268.086,5.0566,49.5225,-1.9862,0,0.0,"ramp_limit",188.245,1,"demo_v2",605338760,"synthetic_generator"
"0.7",134.92,11444.7,540.04,164.8915,"ramping",119.8197,0.6,43.2,72.0035,-11.725,1478.6,32.373,93.95,55.3,25.83,281.85,8.017,4810.5,4.21,287.1127,281.85,5.2627,45.5335,0.2435,0,0.0,"ramp_limit",193.505,0,"demo_v2",605338760,"synthetic_generator"
"0.8",134.9,11365.1,540.0,94.7178,"ramping",119.4585,0.6,42.9,72.0038,-19.244,1480.6,-38.2492,70.497,54.7,25.8,211.491,8.019,4115.6,4.25,216.1093,211.491,4.6183,-17.9247,-0.6188,0,0.0,"ramp_limit",202.986,0,"demo_v2",605338760,"synthetic_generator"
"0.9",134.88,11433.2,539.98,86.3217,"ramping",120.0493,0.6,42.6,72.0042,-28.583,1479.5,-52.1898,66.063,54.9,25.87,198.189,8.021,3994.0,4.23,202.7395,198.189,4.5505,-22.5931,-1.6548,0,-0.0,"ramp_limit",196.373,0,"demo_v2",605338760,"synthetic_generator"
"1.0",134.86,11403.9,540.12,80.0,"ramping",119.8259,0.6,42.9,72.0047,-35.921,1481.1,-54.4697,65.217,55.1,25.83,195.651,8.022,3959.4,4.24,200.2162,195.651,4.5652,-17.5476,-2.5461,0,-0.0,"ramp_limit",193.675,0,"demo_v2",605338760,"synthetic_generator"
"1.1",134.84,11381.3,540.02,80.0,"ramping",120.9491,0.6,42.4,72.0053,-41.608,1480.3,-55.9834,65.066,54.9,25.83,195.198,8.023,3940.4,4.17,199.8057,195.198,4.6077,-13.3764,-2.9519,0,0.0,"ramp_limit",201.189,0,"demo_v2",605338760,"synthetic_generator"
